Category,ID,Latitude,Longitude,Date,Orbit Number,Build ID,Scene ID,ECO4WUE_001_Water_Use_Efficiency_WUEavg
NMEG,US-Mpj,34.4385,-106.2377,2020-04-07 18:47:33 UTC,9953,601,2,0.5568056
NMEG,US-Mpj,34.4385,-106.2377,2020-04-08 18:01:10 UTC,9968,601,2,0.6276213
NMEG,US-Mpj,34.4385,-106.2377,2020-04-17 22:18:41 UTC,10110,601,10,0.6751824
NMEG,US-Mpj,34.4385,-106.2377,2020-04-21 20:45:24 UTC,10171,601,11,0.5821058
NMEG,US-Mpj,34.4385,-106.2377,2020-04-29 17:37:06 UTC,10293,601,10,0.5841423
NMEG,US-Mpj,34.4385,-106.2377,2020-05-03 16:02:50 UTC,10354,601,5,0.693112
NMEG,US-Mpj,34.4385,-106.2377,2020-05-21 01:37:40 UTC,10624,601,2,0.4723406
NMEG,US-Mpj,34.4385,-106.2377,2020-05-25 00:04:05 UTC,10685,601,3,0.6816894
NMEG,US-Mpj,34.4385,-106.2377,2020-06-05 19:19:48 UTC,10868,601,2,0.4508787
NMEG,US-Mpj,34.4385,-106.2377,2020-06-08 01:52:54 UTC,10903,601,13,0.1565568
NMEG,US-Mpj,34.4385,-106.2377,2020-06-09 17:45:20 UTC,10929,601,2,0.55371
NMEG,US-Mpj,34.4385,-106.2377,2020-06-17 14:36:04 UTC,11051,601,2,0.5430263
NMEG,US-Mpj,34.4385,-106.2377,2020-06-19 21:08:48 UTC,11086,601,11,0.5350227
NMEG,US-Mpj,34.4385,-106.2377,2020-06-21 13:01:27 UTC,11112,601,2,0.5052737
NMEG,US-Mpj,34.4385,-106.2377,2020-06-22 20:22:02 UTC,11132,601,11,0.550084
NMEG,US-Mpj,34.4385,-106.2377,2020-06-23 19:34:05 UTC,11147,601,8,0.542255
NMEG,US-Mpj,34.4385,-106.2377,2020-06-26 18:47:25 UTC,11193,601,10,0.4531937
NMEG,US-Mpj,34.4385,-106.2377,2020-06-30 17:12:38 UTC,11254,601,11,0.5062485
NMEG,US-Mpj,34.4385,-106.2377,2020-07-04 15:38:43 UTC,11315,601,6,0.5189799
NMEG,US-Mpj,34.4385,-106.2377,2020-07-08 14:04:46 UTC,11376,601,12,0.4950564
NMEG,US-Mpj,34.4385,-106.2377,2020-07-29 22:03:51 UTC,11707,601,3,0.5592446
NMEG,US-Mpj,34.4385,-106.2377,2020-07-30 21:16:08 UTC,11722,601,2,0.5057003
NMEG,US-Mpj,34.4385,-106.2377,2020-08-06 18:56:16 UTC,11829,601,4,0.3907007
NMEG,US-Mpj,34.4385,-106.2377,2020-08-07 18:09:22 UTC,11844,601,4,0.4319018
NMEG,US-Mpj,34.4385,-106.2377,2020-08-09 01:30:02 UTC,11864,601,14,0.1465447
NMEG,US-Mpj,34.4385,-106.2377,2020-08-10 17:22:42 UTC,11890,601,4,0.4479086
NMEG,US-Mpj,34.4385,-106.2377,2020-08-11 16:35:50 UTC,11905,601,4,0.4055648
NMEG,US-Mpj,34.4385,-106.2377,2020-08-14 15:49:06 UTC,11951,601,4,0.5276522
NMEG,US-Mpj,34.4385,-106.2377,2020-08-16 22:22:47 UTC,11986,601,13,0.4846593
NMEG,US-Mpj,34.4385,-106.2377,2020-08-18 14:15:29 UTC,12012,601,5,0.4177141
NMEG,US-Mpj,34.4385,-106.2377,2020-08-22 12:42:17 UTC,12073,601,2,0.0350498
NMEG,US-Mpj,34.4385,-106.2377,2020-08-24 19:15:34 UTC,12108,601,7,0.651676
NMEG,US-Mpj,34.4385,-106.2377,2020-08-28 17:41:54 UTC,12169,601,12,0.7085331
NMEG,US-Mpj,34.4385,-106.2377,2020-09-23 00:15:02 UTC,12561,601,2,1.9925191
NMEG,US-Mpj,34.4385,-106.2377,2020-09-26 22:43:00 UTC,12622,601,5,2.1700585
NMEG,US-Mpj,34.4385,-106.2377,2020-09-27 21:56:16 UTC,12637,601,5,2.4770877
NMEG,US-Mpj,34.4385,-106.2377,2020-10-01 20:23:56 UTC,12698,601,4,0.9896792
NMEG,US-Mpj,34.4385,-106.2377,2020-10-05 18:51:33 UTC,12759,601,4,2.977891
NMEG,US-Mpj,34.4385,-106.2377,2020-10-09 17:18:16 UTC,12820,601,2,0.6598237
NMEG,US-Mpj,34.4385,-106.2377,2020-10-13 15:44:12 UTC,12881,601,4,0.8558122
NMEG,US-Mpj,34.4385,-106.2377,2020-10-17 14:10:01 UTC,12942,601,4,0.763383
NMEG,US-Mpj,34.4385,-106.2377,2020-10-22 19:56:23 UTC,13023,601,12,0.8569505
NMEG,US-Mpj,34.4385,-106.2377,2020-10-30 16:47:52 UTC,13145,601,6,0.9648139
NMEG,US-Mpj,34.4385,-106.2377,2020-11-28 21:44:23 UTC,13598,601,2,0.8148614
NMEG,US-Mpj,34.4385,-106.2377,2020-12-06 18:37:27 UTC,13720,601,2,0.5925577
NMEG,US-Mpj,34.4385,-106.2377,2020-12-24 18:56:23 UTC,13999,601,12,0.2788499
NMEG,US-Seg,34.3623,-106.702,2018-08-04 21:20:21 UTC,452,601,3,0.4957241
NMEG,US-Seg,34.3623,-106.702,2018-08-07 20:20:54 UTC,498,601,3,0.5526399
NMEG,US-Seg,34.3623,-106.702,2018-08-13 01:44:37 UTC,579,601,14,0.0381243
NMEG,US-Seg,34.3623,-106.702,2018-08-14 17:30:33 UTC,605,601,3,0.3307394
NMEG,US-Seg,34.3623,-106.702,2018-08-19 22:53:50 UTC,686,601,14,0.4427956
NMEG,US-Seg,34.3623,-106.702,2018-08-22 21:54:23 UTC,732,601,12,0.9887989
NMEG,US-Seg,34.3623,-106.702,2018-09-08 15:13:02 UTC,992,601,7,0.2453149
NMEG,US-Seg,34.3623,-106.702,2018-09-27 00:18:34 UTC,1278,601,3,0.4315669
NMEG,US-Seg,34.3623,-106.702,2019-01-27 23:32:30 UTC,3190,601,4,0.2012807
NMEG,US-Seg,34.3623,-106.702,2019-02-18 22:28:03 UTC,3531,601,6,0.2478655
NMEG,US-Seg,34.3623,-106.702,2019-02-25 19:40:58 UTC,3638,601,6,0.1815248
NMEG,US-Seg,34.3623,-106.702,2019-03-04 16:57:17 UTC,3745,601,6,0.2995982
NMEG,US-Seg,34.3623,-106.702,2019-05-26 00:21:06 UTC,5024,601,4,0.7098606
NMEG,US-Seg,34.3623,-106.702,2019-06-05 20:06:48 UTC,5192,601,4,1.4819732
NMEG,US-Seg,34.3623,-106.702,2019-06-09 18:25:59 UTC,5253,601,2,0.6644064
NMEG,US-Seg,34.3623,-106.702,2019-06-12 17:33:43 UTC,5299,601,2,0.4765757
NMEG,US-Seg,34.3623,-106.702,2019-06-16 15:52:18 UTC,5360,601,2,0.4000351
NMEG,US-Seg,34.3623,-106.702,2019-06-20 14:11:18 UTC,5421,601,3,0.3336558
NMEG,US-Seg,34.3623,-106.702,2019-06-21 21:30:05 UTC,5441,601,6,0.6079147
NMEG,US-Seg,34.3623,-106.702,2019-06-25 19:48:07 UTC,5502,601,5,0.5985307
NMEG,US-Seg,34.3623,-106.702,2019-07-02 17:14:47 UTC,5609,601,7,0.388433
NMEG,US-Seg,34.3623,-106.702,2019-07-10 13:53:53 UTC,5731,601,6,0.2820008
NMEG,US-Seg,34.3623,-106.702,2019-07-13 13:02:30 UTC,5777,601,5,0.1527477
NMEG,US-Seg,34.3623,-106.702,2019-07-26 23:50:54 UTC,5986,601,2,0.4000882
NMEG,US-Seg,34.3623,-106.702,2019-08-10 17:57:38 UTC,6215,601,2,0.1854621
NMEG,US-Seg,34.3623,-106.702,2019-08-13 17:05:56 UTC,6261,601,2,0.1515644
NMEG,US-Seg,34.3623,-106.702,2019-08-14 16:17:17 UTC,6276,601,4,0.1651051
NMEG,US-Seg,34.3623,-106.702,2019-08-17 15:26:46 UTC,6322,601,2,0.2060727
NMEG,US-Seg,34.3623,-106.702,2019-08-19 21:57:45 UTC,6357,600,4,0.4410578
NMEG,US-Seg,34.3623,-106.702,2019-08-23 20:19:32 UTC,6418,600,10,0.4787562
NMEG,US-Seg,34.3623,-106.702,2019-09-03 16:13:36 UTC,6586,601,11,0.5442184
