"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE","SD_WUE","SE_WUE","B_WUE.wght","SD_WUE.wght","SE_WUE.wght"
46,2017,2017,4.49875507211992,31.4912855048395,0.31345,2.19415,675.96219,1.97038928571429,0.995816577845238,0.15299236523371,16.1694937202381,16.4064715972222,27588.1205694571,NA,2.22943690094199,811.515031942884,8,"Summer",1.55911076338133,0.0900371037643024,0.000431132049522249,7.01405745475852,0.405054877238643,0.00193955749454167
47,2017,2017,3.68571355439991,25.7999948807994,3.61884714285714,25.33193,701.29412,2.01825178571429,0.530576778869048,0.145576433183045,14.0308805357143,15.2206924107143,19565.2832740043,NA,2.22943690094199,811.515031942884,8,"Summer",2.12034843207928,0.173356267888097,0.000864341004174047,7.8149969561652,0.638941546295341,0.00318571335470792
48,2017,2017,3.51386851171135,24.5970795819794,1.59155857142857,11.14091,712.43503,2.104275,1.00612190476191,0.123538103163524,15.9448523809524,15.6311975297619,24072.3622385714,NA,2.22943690094199,811.515031942884,8,"Summer",1.79373635389462,0.146371000368692,0.000719513332737327,6.30295369226224,0.514328449223236,0.00252827524366218
49,2017,2017,3.08773696921452,21.6141587845016,3.45556142857143,24.18893,736.62396,1.98789285714286,1.22420943452381,0.117851527758792,16.4103655059524,14.9989952450397,22113.7052865696,NA,2.22943690094199,811.515031942884,9,"Summer",1.85817348772363,0.169301292322341,0.000850047392088229,5.73755097325855,0.522757859239487,0.00262472275813521
50,2017,2017,3.07784254389395,21.5448978072577,0.689428571428571,4.826,741.44996,1.84043392857143,1.49917080357143,0.136386832724169,15.3425212797619,14.4976215674603,21899.7885369,NA,2.22943690094199,811.515031942884,9,"Summer",1.78701592759205,0.16371581901194,0.000814925081426838,5.50015364855891,0.50389151286339,0.00250821108570176
51,2017,2017,3.46508475954051,24.2555933167835,0.0725714285714286,0.508,741.95796,1.6343125,1.02283714285714,0.0974055058781474,13.2126298511905,13.4181013769841,25330.2846910829,NA,2.22943690094199,811.515031942884,9,"Summer",2.21839602578734,0.206414752800418,0.00103857053090152,7.68693025958093,0.71524461407305,0.00359873491833474
52,2017,2017,3.26015975256796,22.8211182679757,0.435428571428571,3.048,745.00596,1.4881,0.388475392857143,0.140986229237779,7.66793843154762,10.281966639881,17727.1635438829,NA,2.22943690094199,811.515031942884,9,"Summer",2.80622795795801,0.266264029683006,0.00141094509135964,9.14875144506568,0.868063273129098,0.00459990639993401
53,2017,2018,2.87470396030217,20.1229277221152,0.798285714285714,5.588,745.00596,1.36285,0.416309663690476,0.243464218800932,8.32462099702381,10.9153378482143,17705.2943156957,NA,1.67409008555664,609.368791142617,9,"Summer",2.64661595956996,0.295635750493306,0.00165414644473546,7.6082373803747,0.849865262750012,0.00475518133560077
54,2017,2018,2.74728987422177,19.2310291195524,0.0362857142857143,0.254,5.842,1.17360535714286,0.645660029761905,0.229976894895269,5.74253971130952,8.45257606051587,22253.3081049871,NA,1.67409008555664,609.368791142617,10,"Fall",2.63275481035391,0.302887692411691,0.0017749573610995,7.23294063179396,0.832120290389037,0.00487632238532406
55,2017,2018,2.74305567499856,19.2013897249899,0.0725714285714286,0.508,6.35,1.01384821428571,0.837291785714286,0.19825165835315,8.18850508630953,7.95122803968254,21345.1930873806,NA,1.67409008555664,609.368791142617,10,"Fall",2.7293771366852,0.328918982168507,0.00200465336000147,7.48683344399566,0.902243080652071,0.00549887577555696
