Date,GPP_int,GPP_dayint,RECO_int,RECO_dayint,RECO_nightint,NEE_int,NEE_dayint,NEE_nightint,ET_int,ET_dayint,P_int,TA_avg,TA_max,RH_avg,SW_IN_avg,NETRAD_avg,PPFD_IN_avg,PPFD_IN_sum,VPD_avg,VPD_max,LE_avg,H_avg
01/01/2008,0.497108072089098,0.497108072089098,0.502663665180132,0.502663665180132,0,0.00555559309103395,0.00555559309103395,0,0.241978189314189,0.241978189314189,0,-6.81493893617021,-0.84668,23.0770276595745,166.645340425532,NaN,NaN,0,0.295094680851064,0.49469,8.09038785106383,42.0966065744681
01/02/2008,0.503923516434126,0.503923516434126,0.425797166160756,0.425797166160756,0,-0.07812635027337,-0.07812635027337,0,0.168281112831333,0.168281112831333,0,-3.735211875,1.76572,38.74521875,101.733254166667,NaN,NaN,0,0.292625,0.5156,5.43271277083333,30.39947575
01/03/2008,0.462841416811566,0.462841416811566,0.490036898155968,0.490036898155968,0,0.027195481344402,0.027195481344402,0,0.266176755054854,0.266176755054854,0,-0.221530416666666,5.354,38.35478125,140.521020833333,NaN,NaN,0,0.389123125,0.64542,8.4747,19.80789025
01/04/2008,0.4862776546827,0.4862776546827,0.523824416723088,0.523824416723088,0,0.037546762040388,0.037546762040388,0,0.134062898167188,0.134062898167188,0,2.88622791666667,6.80964,57.7454166666667,139.94635,NaN,NaN,0,0.322233125,0.52362,4.22492625,32.2627715
01/05/2008,0.407501715033738,0.407501715033738,0.709532778124008,0.709532778124008,0,0.30203106309027,0.30203106309027,0,0.192462194439888,0.192462194439888,0,5.249425625,7.70486,63.6799,81.1341458333333,NaN,NaN,0,0.334548541666667,0.52858,5.97369604166667,-10.1989945833333
01/06/2008,0.787026927826926,0.787026927826926,0.736955481836826,0.736955481836826,0,-0.0500714459901,-0.0500714459901,0,0.245270281326817,0.245270281326817,0.98985,3.69053,8.54159,76.1812625,83.1978125,NaN,NaN,0,0.213193925,0.56441,7.66643333333333,18.5391981041667
01/07/2008,1.08940251561827,1.08940251561827,0.702781013170296,0.702781013170296,0,-0.386621502447978,-0.386621502447978,0,0.820528549252957,0.820528549252957,10.77837,0.433928541666666,4.16629,89.9512416666667,69.9545777291667,NaN,NaN,0,0.0658688354166666,0.30951,26.3030652083333,-6.04013320833333
01/08/2008,0.66756668141691,0.66756668141691,0.685462621340718,0.685462621340718,0,0.017895939923808,0.017895939923808,0,0.579505068209368,0.579505068209368,4.72929,-3.179566875,0.46413,69.0296833333333,161.869166666667,NaN,NaN,0,0.155663375,0.28614,18.7802083333333,22.1666145625
01/09/2008,0.574331253271686,0.574331253271686,0.691844691389796,0.691844691389796,0,0.11751343811811,0.11751343811811,0,0.516129481480583,0.516129481480583,0,0.2508125,4.77417,52.6217770833333,159.619683333333,NaN,NaN,0,0.306779166666667,0.50974,16.41361875,13.51698925
01/10/2008,0.701182190477052,0.701182190477052,0.61991586174213,0.61991586174213,0,-0.081266328734922,-0.081266328734922,0,0.390670773248719,0.390670773248719,0,-2.18884354166667,0.25264,45.78270625,167.171979166667,NaN,NaN,0,0.289295833333333,0.44234,12.5766522916667,37.2117487083333
01/11/2008,0.565147493447022,0.565147493447022,0.6681990184083,0.6681990184083,0,0.103051524961278,0.103051524961278,0,0.352974338540101,0.352974338540101,0,-0.240157291666667,4.92563,45.5170666666667,166.202795833333,NaN,NaN,0,0.343421666666667,0.62819,11.21736375,26.2294031666667
01/12/2008,0.720609438566466,0.720609438566466,0.635125100688216,0.635125100688216,0,-0.08548433787825,-0.08548433787825,0,0.290219534456131,0.290219534456131,0,-2.31312729166667,0.48084,46.5726104166667,172.406875,NaN,NaN,0,0.284393333333333,0.43138,9.32718027083333,44.71591
01/13/2008,0.387034920155142,0.387034920155142,0.622909241528634,0.622909241528634,0,0.235874321373492,0.235874321373492,0,0.259107283259608,0.259107283259608,0,-3.53774833333333,0.08925,47.5683375,104.2855625,NaN,NaN,0,0.256851666666667,0.45381,8.37509458333333,16.4589049791667
01/14/2008,0.642377833810182,0.642377833810182,0.628019115417918,0.628019115417918,0,-0.014358718392264,-0.014358718392264,0,0.299437513240328,0.299437513240328,0,-3.15177520833333,1.25478,51.5700375,169.148958333333,NaN,NaN,0,0.260527791666667,0.49239,9.67902174583333,45.99484525
