Date,GPP_int,GPP_dayint,RECO_int,RECO_dayint,RECO_nightint,NEE_int,NEE_dayint,NEE_nightint,ET_int,ET_dayint,P_int,TA_avg,TA_max,RH_avg,SW_IN_avg,NETRAD_avg,PPFD_IN_avg,PPFD_IN_sum,VPD_avg,VPD_max,LE_avg,H_avg
07/07/2013,0.7827821639649,0.5946269254875,2.0672460144432,1.3210979421744,0.7461480722688,1.2844638504783,0.7264710166869,0.5579928337914,1.54731221035113,1.47703393107499,0,22.7815833333333,29.3,56.0337416666666,258.766770833333,NaN,508.714817921875,24418.31126025,1.32814229166667,2.9593,45.837325625,71.771267825
07/08/2013,1.181299061763,1.0636009570422,1.8162557675586,0.8925090376158,0.9237467299428,0.6349567057956,-0.1710919194264,0.806048625222,1.201251803715,1.08396575107138,0.55292,22.5445416666667,28.648,53.2857625,179.093033333333,NaN,362.125852798125,17382.04093431,1.39711833333333,2.8524,35.67815825,44.5508835791667
07/09/2013,1.1819435047614,1.0839343140828,1.6253190769518,0.9792570365892,0.6460620403626,0.4433755721904,-0.1046772774936,0.548052849684,1.01200926315042,0.97686955543942,0,24.7482083333333,31.259,44.6001208333333,338.968296458333,NaN,662.974928664896,31822.796575915,1.93559020833333,3.6095,29.6200460833333,104.647516597917
07/10/2013,1.36282467937356,1.17959006413656,1.4564662121124,0.842923248003,0.6135429641094,0.0936415327388401,-0.33666681613356,0.4303083488724,0.759048328159624,0.743420523980271,0,25.0452916666667,30.591,42.2234979166667,326.3109375,NaN,633.732063856875,30419.13906513,1.97264645833333,3.301,22.1991877916667,111.297361641667
07/11/2013,1.2409154224452,1.1704811408172,1.1742332571072,0.6609692599992,0.513263997108,-0.066682165338,-0.509511880818,0.44282971548,0.582398326280724,0.595963222578885,0,23.1535833333333,29.504,51.6111125,229.823252083333,NaN,455.890202219375,21882.72970653,1.51069979166667,3.1931,17.1538041666667,80.5474997791667
07/12/2013,1.00860506759304,0.90172942397604,1.0870943072904,0.620460802854,0.4666335044364,0.07848923969736,-0.28126862112204,0.3597578608194,0.568439441400556,0.586858056962586,0,23.1953333333333,29.067,48.5785916666667,230.798333333333,NaN,450.842821004158,21640.4554081996,1.542875,2.9108,16.717666875,79.2298411958333
07/13/2013,1.20123630515196,1.11428912296116,1.1201303345814,0.6348955217616,0.4852348128198,-0.0811059705705601,-0.47939360119956,0.398287630629,0.622350388369707,0.628833891457357,0,25.0002916666667,30.135,38.55346875,333.4239625,NaN,649.803647899677,31190.5750991845,2.12470166666667,3.4335,18.1934197916667,122.90811785625
07/14/2013,0.8979694856424,0.8343600127596,1.0497629662344,0.5893307555112,0.4604322107232,0.151793480592,-0.2450292572484,0.3968227378404,0.584422974202527,0.576528605644742,4.86568,22.9850833333333,31.76,53.2577375,294.715847916667,NaN,573.707389691354,27537.954705185,1.566124375,3.8103,17.1087572916667,108.963718670833
07/15/2013,0.62918374356,0.5874776143542,0.819992315232,0.4091504126598,0.4108419025722,0.190808571672,-0.1783272016944,0.3691357733664,1.98573638339282,1.95055905286409,0.44233,16.1272083333333,18.083,80.8547625,178.910283333333,NaN,354.47854428375,17014.97012562,0.358458395833333,0.91857,61.1193322291667,47.4425722125
07/16/2013,0.8994573386586,0.8312338977786,0.8265404986362,0.4777221052782,0.348818393358,-0.0729168400224,-0.3535117925004,0.280594952478,1.10260837954841,1.04882693961369,0,16.0998125,20.908,69.93580625,211.249104166667,NaN,404.304261225625,19406.60453883,0.6314195,1.4124,33.6352795208333,65.1630988979167
07/17/2013,0.9831397797108,0.8818261755606,0.7980380785458,0.4729424647536,0.3250956137922,-0.185101701165,-0.408883710807,0.223782009642,0.806889202823586,0.831483471419392,0,15.57898125,20.022,79.18154375,199.400008333333,NaN,391.544730659167,18794.14707164,0.4196265,1.1043,24.68376125,71.4383145416667
